Product Type,Tags,Title,Variant Barcode,Variant Compare At Price,Variant Fulfillment Service,Variant Grams,Variant ID,Variant Image ID,Variant Image Src,Variant Inventory Management,Variant Inventory Policy,Variant Inventory Quantity,Variant Price,Variant SKU,Variant Title,Variant Weight,Variant Weight Unit,Vendor
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36699845755034,,,shopify,deny,80,0,https://prueba.dataintelligence-group.com/data-educacion,Santiago,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36699845787802,,,shopify,deny,87,0,https://prueba.dataintelligence-group.com/data-educacion,Concepción,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36699845820570,,,shopify,deny,88,0,https://prueba.dataintelligence-group.com/data-educacion,Rancagua,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36699845853338,,,shopify,deny,90,0,https://prueba.dataintelligence-group.com/data-educacion,Valparaíso,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36707043442842,,,shopify,deny,89,0,https://prueba.dataintelligence-group.com/data-educacion,Talca,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36707050127514,,,shopify,deny,87,0,https://prueba.dataintelligence-group.com/data-educacion,La Serena,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36707063759002,,,shopify,deny,0,0,https://prueba.dataintelligence-group.com/data-educacion,Temuco,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36707076309146,,,shopify,deny,4,0,https://prueba.dataintelligence-group.com/data-educacion,Puerto Montt,0.0,kg,DATA INTELLIGENCE
,"genero, mujeres, violencia",Mapa de Violencia de Género: Femicidios en Chile,,,manual,0,36723184926874,,,shopify,deny,5,0,https://prueba.dataintelligence-group.com/data-educacion,Región del Bíobio,0.0,kg,DATA INTELLIGENCE
,,Monitoreo de incendios forestales en Chile (2016-2020),,,manual,0,36447048794266,,,shopify,deny,16,10000,,Default Title,0.0,kg,DATA INTELLIGENCE
,,Data Educacion,,,manual,0,36839141638298,,,shopify,deny,998,1000,https://prueba.dataintelligence-group.com/data4?Codcom=13101,Santiago,0.0,kg,DATA INTELLIGENCE
,,Data Educacion,,,manual,0,36839141671066,,,shopify,deny,9998,2000,https://prueba.dataintelligence-group.com/data4?Codcom=1101,Iquique,0.0,kg,DATA INTELLIGENCE
,,Data Educacion,,,manual,0,36839141703834,,,shopify,deny,9998,3000,https://prueba.dataintelligence-group.com/data4?Codcom=2101,Antofagasta,0.0,kg,DATA INTELLIGENCE
,,Data Educacion,,,manual,0,36839141736602,,,shopify,deny,9998,0,https://prueba.dataintelligence-group.com/data4?Codcom=3101,Copiapó,0.0,kg,DATA INTELLIGENCE
,,Mapa Indices GEE,,,manual,0,36841361965210,,,shopify,deny,989,0,https://prueba.dataintelligence-group.com/data6?Codcom=13101,Santiago,0.0,kg,DATA INTELLIGENCE
,,Mapa Indices GEE,,,manual,0,36841361997978,,,shopify,deny,997,0,https://prueba.dataintelligence-group.com/data6?Codcom=1101,Iquique,0.0,kg,DATA INTELLIGENCE
,,Mapa Indices GEE,,,manual,0,36841362030746,,,shopify,deny,995,0,https://prueba.dataintelligence-group.com/data6?Codcom=2101,Antofagasta,0.0,kg,DATA INTELLIGENCE
,,Mapa Indices GEE,,,manual,0,36841362063514,,,shopify,deny,997,0,https://prueba.dataintelligence-group.com/data6?Codcom=3101,Copiapó,0.0,kg,DATA INTELLIGENCE
,,airplane,,,manual,0,36706873344154,,,shopify,deny,9999984,0,https://prueba.dataintelligence-group.com/data-riesgos,Default Title,0.0,kg,DATA INTELLIGENCE
,,david lynch,,,manual,0,36707148660890,,,shopify,deny,0,0,,Default Title,0.0,kg,DATA INTELLIGENCE
